id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest;
"1438719275666075648,1438654514140041216,2021-09-17 11:19:40 SE Asia Standard Time,2021-09-17,11:19:40,700,1104577419711672320,m6rizal,Buaya Angkatan Darat🏅,,""@Encexferry1 @Apudz2 Pada takut dgn sosok novel. Tp malah mengagungkan perrrsiden yg gajelas visi misi nya. Wkwkwk Yg dungu di piara, yg berfikir diberantas.  *awas minta 3periode. Hahahah"",in,[],[],[],1,0,2,[],[],https://twitter.com/M6Rizal/status/1438719275666075648,False,,0,,,,,,,,""[{'screen_name': 'Encexferry1', 'name': 'Encexferry', 'id': '934241187912851457'}, {'screen_name': 'Apudz2', 'name': 'fuadridwan', 'id': '878280881743343616'}]"",,,,";
"1438655833785528321,1438655833785528320,2021-09-17 07:07:34 SE Asia Standard Time,2021-09-17,07:07:34,700,1117524952092033024,baggiosastro,ꜱᴍɪʟᴇ ɢᴇɴᴇʀᴀʟ 🇲🇨,,""Masyarakat bukanya disejahterakan,tapi malah tiap hari cm suru liat pemimpin nya yg seolah gk bisa kerja, Hal sepele yg mnjadi prestasi selama menjabat, Gilanya lagi model kekgtu masih ada yg dukung 3periode.. Apes betul kalian."",in,[],[],[],0,0,3,[],[],https://twitter.com/BaGGioSastro/status/1438655833785528321,False,https://twitter.com/PutraWadapi/status/1438620112198635556,0,,,,,,,,[],,,,";
1438622436862267398,1438622436862267392,2021-09-17 04:54:51 SE Asia Standard Time,2021-09-17,04:54:51,700,110357482,rakeyandetya,🍜 Supermie,,Sm bangt kaya 3periode nih.. Nanti jawabannya salahin mpr lah kan mereka yg amandemen saya hanya melaksanakan konstitusi,in,[],[],[],0,0,0,[],[],https://twitter.com/rakeyandetya/status/1438622436862267398,False,https://twitter.com/PutraWadapi/status/1438620112198635556,0,,,,,,,,[],,,,;
"1438545500194566144,1438538524425220096,2021-09-16 23:49:08 SE Asia Standard Time,2021-09-16,23:49:08,700,197656838,iteungik,Josie Wirakusumah,,""@yunusboyq @CNNIndonesia mau berkuasa lagi, emang bisa 3Periode ea? 😇😇😇😇😇"",in,[],[],[],1,0,1,[],[],https://twitter.com/Iteungik/status/1438545500194566144,False,,0,,,,,,,,""[{'screen_name': 'yunusboyq', 'name': 'mr yoenoes', 'id': '820847680297443328'}, {'screen_name': 'CNNIndonesia', 'name': 'CNN Indonesia', 'id': '17128975'}]"",,,,";
"1438532157610205186,1391883857222197248,2021-09-16 22:56:07 SE Asia Standard Time,2021-09-16,22:56:07,700,1277353000630009856,hasnaberkah,hasnaBERKAH,,""@RE666EL @BossTemlen Kadrun ra cetho... Isunya itu, presiden 3periode, meroketnya kekayaan pres, men,... Melemahnya KPK, tentara china jebol pagere NKRI, papua berdarah oleh OPM.... Bahas Ahok itu maksudmu....."",in,[],[],[],0,0,7,[],[],https://twitter.com/HasnaBerkah/status/1438532157610205186,False,,0,,,,,,,,""[{'screen_name': 'RE666EL', 'name': '⛧', 'id': '1246804937406734337'}, {'screen_name': 'BossTemlen', 'name': 'Boss', 'id': '1239754822707904513'}]"",,,,";
"1438481037420490760,1438423953010159616,2021-09-16 19:32:59 SE Asia Standard Time,2021-09-16,19:32:59,700,1399290283309735938,takon_wong,Wong Takon,,@Dennysiregar7 @jokowi 3periode den baru kelar 🤣,in,[],[],[],0,0,0,[],[],https://twitter.com/takon_wong/status/1438481037420490760,False,,0,,,,,,,,""[{'screen_name': 'Dennysiregar7', 'name': 'Denny siregar', 'id': '4780649298'}, {'screen_name': 'jokowi', 'name': 'Joko Widodo', 'id': '366987179'}]"",,,,";
"1438381705597911041,1438110984619528192,2021-09-16 12:58:17 SE Asia Standard Time,2021-09-16,12:58:17,700,1299399651817218048,azzuraroza,Azzura Roza,,@ZKifli1981 @republikaonline Presiden nya kan 3periode pak,in,[],[],[],1,0,0,[],[],https://twitter.com/AzzuraRoza/status/1438381705597911041,False,,0,,,,,,,,""[{'screen_name': 'ZKifli1981', 'name': 'Zul kifli1981', 'id': '1336359707921936385'}, {'screen_name': 'republikaonline', 'name': 'Republika.co.id', 'id': '22126902'}]"",,,,";
"1438352219280076801,1438161301063155712,2021-09-16 11:01:07 SE Asia Standard Time,2021-09-16,11:01:07,700,1277353000630009856,hasnaberkah,hasnaBERKAH,,""@OposisiCerdas Kenapa harus bersumpah, kalo aturan/UUD gak dirubah otomatis.gak bisa 3 periode..... Kalo toh mau 3periode dapapa sekalian hancurlah Indonesia, dan akan segera diganti oleh Alloh orang2 yang baik/sholeh terpercaya."",in,[],[],[],0,0,0,[],[],https://twitter.com/HasnaBerkah/status/1438352219280076801,False,,0,,,,,,,,""[{'screen_name': 'OposisiCerdas', 'name': 'OposisiCerdas.com', 'id': '887743587579944960'}]"",,,,";
"1438321213273640962,1438117140695973888,2021-09-16 08:57:54 SE Asia Standard Time,2021-09-16,08:57:54,700,1340579373364117504,khdafikh,Damfi,,@Rewanston #3Periode,und,[],[],[],1,0,0,['3periode'],[],https://twitter.com/khdafikh/status/1438321213273640962,False,,0,,,,,,,,""[{'screen_name': 'Rewanston', 'name': 'MudzaRewanston', 'id': '1309309301933178880'}]"",,,,";
"1438249455346601985,1438247700680433664,2021-09-16 04:12:46 SE Asia Standard Time,2021-09-16,04:12:46,700,161502844,kotaksegiempat,akun kotak □,,""gw pribadi, target tahun ini scudetto.  eropa? Lihat performa grup B, masuk liga malam jumat, capai 4 besar itu udah bagus.   Tapi, ya tentu saja bisa lolos ke fase knock out ucl adalah anugerah terbaik bagi milan musim ini, makanya lanjut #3periode dong"",in,[],[],[],0,0,0,['3periode'],[],https://twitter.com/kotaksegiempat/status/1438249455346601985,False,,0,,,,,,,,[],,,,";
